word,translation,example,level
die Mütze,шапка,"Im Winter trage ich immer eine warme Mütze, um meine Ohren zu schützen.",A1
dünn,"тонкий, худой","Das Papier ist sehr dünn, man kann leicht durchsehen.",A2
mischen,смешивать,"Man muss die Zutaten gut mischen, bevor man sie backt.",B1
notieren,записывать,Bitte notieren Sie sich die wichtigsten Punkte.,A2
das Nahrungsmittel,продукт питания,Die Preise für Grundnahrungsmittel sind in den letzten Monaten stark gestiegen.,A2
offiziell,официально,Die Regierung hat die neuen Regeln offiziell bekannt gegeben.,B1
unser,наш,Unser neues Haus ist sehr gemütlich.,A1
der Blitz,молния,Während des Gewitters sahen wir einen hellen Blitz am Himmel.,B1
sich lohnen,"окупаться, стоить того","Es lohnt sich, Zeit in die Weiterbildung zu investieren.",B1
günstig,выгодный,"Das Angebot ist sehr günstig, wir sollten es nutzen.",A2
der Abwart,"управляющий зданием, дворник",Der Abwart kümmert sich um die Instandhaltung des Gebäudes und die Müllentsorgung.,B2
deutlich,чёткий,"Bitte sprich deutlicher, damit ich dich besser verstehen kann.",A2
die Kreuzung,перекресток,An der nächsten Kreuzung musst du links abbiegen.,A2
das Mädchen,девочка,Das kleine Mädchen spielte fröhlich im Garten mit ihrem Ball.,A1
sogar,даже,Er kann sogar drei Sprachen sprechen.,A2
die Einzelheit,деталь,Er erklärte jede Einzelheit des Plans sorgfältig.,B1
einkaufen,покупать,"Am Samstag gehen wir immer zusammen einkaufen, um den Wocheneinkauf zu erledigen.",A1
der See,озеро,Wir haben im Sommer am See geangelt und viel Spaß gehabt.,A1
die Katze,кошка,Unsere Katze schläft am liebsten auf dem warmen Fensterbrett.,A1
umziehen,переезжать,Wir werden nächsten Monat in eine neue Stadt umziehen.,A2
der Rock,юбка,Sie trug einen kurzen Rock und ein schickes Oberteil.,A1
die Neuigkeit,новость,"Ich habe eine aufregende Neuigkeit zu erzählen, wir bekommen ein Baby!",B1
die Chipkarte,чип-карта,Bitte legen Sie Ihre Chipkarte in das Lesegerät ein.,A2
parallel,параллельный,Die beiden Straßen verlaufen parallel zueinander.,B2
analysieren,анализировать,"Wir müssen die Daten sorgfältig analysieren, um die Ursache des Problems zu finden.",B2
das Paar,пара,Ein glückliches Paar feierte seinen Hochzeitstag im Restaurant.,A1
die Länge,длина,Die Länge des Flusses beträgt über tausend Kilometer.,A2
die Tour,тур,"Wir haben eine geführte Tour durch die Altstadt gebucht, um mehr über ihre Geschichte zu erfahren.",A2
der Mangel,"недостаток, дефицит",Es gibt einen Mangel an qualifizierten Arbeitskräften.,B1
die Party,вечеринка,Wir planen eine Überraschungsparty für ihren Geburtstag.,A1
der Prospekt,"брошюра, проспект","Ich habe mir den Prospekt des Hotels angesehen, um mehr über die Angebote zu erfahren.",A2
zwei,два,Es gab zwei mögliche Lösungen für das Problem.,A1
schwanger,беременная,Meine Freundin ist im fünften Monat schwanger.,A2
die Batterie,"батарея, аккумулятор",Die Batterie meines Laptops ist fast leer.,A1
die Kontrolle,контроль,Die Polizei hat eine strenge Kontrolle der Verkehrsregeln durchgeführt.,A2
bedienen,обслуживать,Der Kellner bedient die Gäste freundlich.,A2
der Januar,январь,Der Januar ist oft der kälteste Monat des Jahres.,A1
die Etage,этаж,Unsere Wohnung befindet sich in der dritten Etage des Gebäudes.,A2
die Pflanze,растение,Diese exotische Pflanze benötigt viel Sonnenlicht.,A2
ebenfalls,"также, тоже","Ich freue mich, Sie kennenzulernen. Ich mich ebenfalls.",A2
der Buchstabe,буква,Jeder Buchstabe in diesem Wort hat eine besondere Bedeutung.,A1
nützen,приносить пользу,"Es nützt nichts, sich jetzt darüber aufzuregen.",B1
das Krankenhaus,больница,Nach dem Unfall wurde er sofort ins Krankenhaus gebracht.,A1
das Wohnzimmer,гостиная,Wir verbringen die Abende oft gemütlich im Wohnzimmer.,A1
allgemein,"общий, в целом","Allgemein lässt sich sagen, dass die Wirtschaft sich langsam erholt.",B1
streng,строгий,"Der Lehrer war sehr streng, aber gerecht.",B1
der Schüler,ученик,Der Schüler lernt fleißig für seine Abschlussprüfungen.,A1
die Erziehung,воспитание,Eine gute Erziehung ist entscheidend für die Entwicklung eines Kindes.,B1
weiblich,женский,Sie hat eine sehr weibliche Ausstrahlung.,A2
das Gewissen,совесть,"Er konnte nicht schlafen, weil sein Gewissen ihn plagte.",B2
der Abschied,прощание,Der Abschied von meinen Freunden fiel mir sehr schwer.,A2
behaupten,утверждать,"Er behauptet, dass er die Wahrheit sagt.",B1
hier,здесь,Wir wohnen seit fünf Jahren hier in dieser Stadt.,A1
der Kunststoff,пластик,Viele Verpackungen werden heute aus Kunststoff hergestellt.,B1
die Fähre,паром,"Wir nahmen die Fähre, um auf die Insel zu gelangen.",A2
listen,слушать,"Es ist wichtig, gut zuzuhören, wenn jemand spricht.",A1
das Gewitter,гроза,Das plötzliche Gewitter überraschte die Wanderer auf dem Berg.,A2
stellen,"ставить, помещать",Kannst du bitte die Vase auf den Tisch stellen?,A2
beschweren,жаловаться,Er hat sich über den schlechten Service im Restaurant beschwert.,A2
die Intelligenz,интеллект,Die Intelligenz eines Menschen zeigt sich nicht nur in akademischen Leistungen.,B1
der Fernseher,телевизор,Der neue Fernseher hat ein beeindruckend klares Bild.,A1
die Kindheit,детство,In meiner Kindheit habe ich viel Zeit im Freien verbracht.,A2
ankommen,"прибывать, приезжать",Der Zug wird voraussichtlich um 15 Uhr ankommen.,A1
die Lampe,лампа,"Bitte schalte die Lampe ein, es ist schon dunkel draußen.",A1
die Eile,спешка,In der Eile vergaß er seinen Schlüssel.,A2
schenken,дарить,Sie hat mir zum Geburtstag ein Buch geschenkt.,A1
wissenschaftlich,научный,Die Forscher präsentierten ihre wissenschaftlichen Ergebnisse auf der Konferenz.,B2
neun,девять,Wir haben neun Äpfel im Korb.,A1
der Lehrling,ученик (мастера),Der erfahrene Handwerker bildete einen jungen Lehrling aus.,B1
einpacken,упаковывать,"Bevor wir abreisen, müssen wir alle Koffer packen und die Wohnung aufräumen.",A1
die Aktion,"акция, действие",Die Organisation plant eine Wohltätigkeitsaktion für Bedürftige.,B1
die Fasnacht,карнавал,In einigen Regionen Deutschlands wird die Fasnacht sehr ausgelassen gefeiert.,B1
der Krimi,"детектив (фильм, книга)",Am Abend schaue ich gerne einen spannenden Krimi im Fernsehen.,A2
die Werkstatt,мастерская,Der Mechaniker repariert das Auto in seiner Werkstatt.,A2
die Köchin,повариха,Die talentierte Köchin bereitete ein köstliches Menü zu.,A1
der Personenstand,семейное положение,Bei der Anmeldung musste er seinen Personenstand angeben.,B2
die Gegend,"район, местность",Diese Gegend ist bekannt für ihre schönen Wälder und Seen.,A2
die Tradition,традиция,"Viele Familien halten an alten Traditionen fest, besonders während der Feiertage.",B1
irgendwann,когда-нибудь,Wir werden uns irgendwann wiedersehen.,B1
der Pfeffer,перец,"Bitte gib mir den Pfeffer, ich möchte mein Essen würzen.",A1
nirgendwo,нигде,Ich habe meinen Schlüssel nirgendwo gefunden.,A2
der Nagel,"гвоздь, ноготь","Er schlug einen Nagel in die Wand, um das Bild aufzuhängen.",A2
der Ordner,папка (для документов),Ich habe alle wichtigen Rechnungen in diesem Ordner gesammelt.,A2
sollen,"должен (по предписанию, совету)","Du sollst mehr Wasser trinken, um gesund zu bleiben.",A1
lassen,"оставлять, позволять","Lass mich dir helfen, das ist keine große Sache.",A2
der Handel,торговля,Der internationale Handel spielt eine wichtige Rolle für die Wirtschaft.,B1
die Geschwister,братья и сестры,"Sie hat zwei ältere Geschwister, einen Bruder und eine Schwester.",A1
der Herr,господин,Der Herr im blauen Anzug wartet auf seine Verabredung.,A1
beruflich,"по работе, профессиональный",Ich habe ihn auf einer beruflichen Konferenz kennengelernt.,A2
modern,современный,Das neue Gebäude hat ein sehr modernes Design.,B1
der Blog,блог,Ich lese gerne interessante Blogs über Reisen und Fotografie.,A2
auf,на,Das Buch liegt auf dem Tisch.,A1
öffnen,открывать,"Könnten Sie bitte die Tür öffnen, es ist sehr heiß hier drin.",A1
miteinander,друг с другом,"Es ist wichtig, dass wir gut miteinander auskommen.",A2
der Vormittag,"утро, первая половина дня",Am Vormittag habe ich einen Termin beim Arzt.,A1
die Vorstellung,"представление, показ",Die Vorstellung des neuen Theaterstücks war ein voller Erfolg.,A2
negativ,негативный,Seine Antwort war leider sehr negativ.,B1
das Angebot,"предложение, скидка",Dieses Sonderangebot gilt nur für kurze Zeit.,A2
die Ohren,уши,"Er hat große Ohren, die ihm beim Hören helfen.",A1
schädlich,вредный,Rauchen ist sehr schädlich für die Gesundheit.,B1
der Abfall,"мусор, отходы","Wir müssen den Abfall richtig trennen, um ihn recyceln zu können.",A2
weit,далеко,Das Dorf ist sehr weit von hier entfernt.,A2
der Maler,"художник, маляр",Der Maler hat das Bild mit viel Gefühl gemalt.,A2
normalerweise,обычно,Normalerweise stehe ich um sieben Uhr auf.,A2
der Grund,"причина, основание",Ich verstehe den Grund für seine plötzliche Abreise nicht.,A2
die Ordination,"прием у врача, рукоположение (священника)",Die Ordination des neuen Pfarrers fand gestern statt.,C1
anhaben,носить (одежду),Was hast du heute Schönes an?,A2
jeweils,"соответственно, каждый раз",Jeder Teilnehmer erhält jeweils einen Preis.,B1
höflich,вежливый,"Es ist wichtig, im Umgang mit anderen Menschen höflich zu sein.",A2
verdienen,зарабатывать,"Er arbeitet hart, um genug Geld für seine Familie zu verdienen.",A2
das Verhalten,поведение,Das Verhalten der Kinder im Unterricht war vorbildlich.,B1
der Ober,официант (в ресторане),Der Ober brachte uns die Speisekarte und nahm unsere Bestellung auf.,A2
trainieren,тренироваться,Sie trainiert jeden Tag für den Marathon.,A2
der Mittler,посредник,Er fungierte als Mittler zwischen den beiden streitenden Parteien.,B2
aussprechen,"произносить, высказывать","Es fällt mir schwer, meine Gefühle auszusprechen.",B1
das Konsulat,консульство,"Wenn Sie Ihren Reisepass verlieren, müssen Sie sich an das Konsulat Ihres Landes wenden.",B1
ankreuzen,"ставить галочку, отмечать",Bitte kreuze die richtige Antwort auf dem Formular an.,A1
geeignet,подходящий,Dieser Kurs ist für Anfänger sehr gut geeignet.,B1
die Kurve,поворот,Der Rennfahrer nahm die scharfe Kurve mit hoher Geschwindigkeit.,A2
die Mappe,"папка, портфель",Bitte legen Sie Ihre Unterlagen in diese Mappe.,A2
das Gemüse,овощи,Für das Abendessen kaufen wir frisches Gemüse auf dem Markt.,A1
geboren,рожденный,Er wurde in Berlin geboren und lebt dort immer noch.,A1
sportlich,спортивный,Sie ist sehr sportlich und geht jeden Tag joggen.,A2
das Erlebnis,"переживание, опыт",Die Reise war ein unvergessliches Erlebnis.,B1
die Autobahn,автомагистраль,"Wir sind mit dem Auto über die Autobahn gefahren, um Zeit zu sparen.",A2
der Mitarbeiter,"сотрудник, коллега",Der neue Mitarbeiter hat sich schnell eingearbeitet.,A2
hupen,гудеть,"Der Autofahrer hupte laut, um auf sich aufmerksam zu machen.",A2
zahlen,платить,"Man muss für die Dienstleistungen bezahlen, bevor man sie in Anspruch nimmt.",A1
lösen,"решать, развязывать",Wir müssen dieses Problem so schnell wie möglich lösen.,B1
zuerst,"сначала, в первую очередь","Zuerst müssen wir die Probleme identifizieren, bevor wir Lösungen finden können.",A1
inklusive,включая,"Der Preis beträgt 50 Euro, inklusive Mehrwertsteuer.",B1
der Ort,место,Wir haben einen schönen Ort für unser Picknick gefunden.,A1
die Bewerbung,"заявление, заявка",Meine Bewerbung für die Stelle wurde positiv aufgenommen.,A2
mögen,"любить, нравиться",Ich mag diesen Film sehr.,A1
beurteilen,"оценивать, судить",Man sollte niemanden vorschnell beurteilen.,B1
der Name,"имя, название",Können Sie mir bitte Ihren Namen und Ihre Adresse nennen?,A1
die Bühne,сцена,Der Schauspieler trat auf die Bühne und begann zu sprechen.,A2
die Postleitzahl,почтовый индекс,"Bitte geben Sie Ihre Postleitzahl korrekt an, damit die Lieferung reibungslos funktioniert.",A1
hell,яркий,Die Sonne scheint heute sehr hell.,A2
der Dialog,диалог,Ein guter Dialog ist wichtig für das Verständnis.,A2
die Herausforderung,вызов,Die Bewältigung dieser komplexen Aufgabe stellt eine echte Herausforderung dar.,B2
konzentrieren,концентрироваться,"Es fällt mir schwer, mich bei so viel Lärm zu konzentrieren.",B1
der Affe,обезьяна,Im Zoo konnten wir viele verschiedene Affen beobachten.,A1
die Klassenarbeit,контрольная работа,Die Schüler bereiten sich intensiv auf die Klassenarbeit in Mathematik vor.,A2
der Raum,"комната, пространство",In diesem großen Raum finden problemlos bis zu hundert Personen Platz.,A2
die Hütte,"хижина, домик",Wir mieteten eine kleine Hütte in den Bergen für unseren Urlaub.,A2
gehen,идти,"Wir gehen heute Abend ins Kino, um einen neuen Film zu sehen.",A1
beleidigen,оскорблять,"Es ist nicht nett, andere Menschen zu beleidigen.",B1
das Unentschieden,ничья,Das Fußballspiel endete mit einem Unentschieden.,B1
eilig,спешный,"Er hatte es sehr eilig, da er einen wichtigen Termin hatte.",A2
streiten,ссориться,"Geschwister streiten sich oft, aber sie lieben sich auch.",B1
gut,хорошо,"Das Wetter ist heute sehr gut, wir sollten einen Spaziergang machen.",A1
fliegen,летать,Wir werden nächstes Jahr nach Spanien fliegen.,A1
kontrollieren,контролировать,Wir müssen die Einhaltung der Regeln kontrollieren.,A2
beraten,"советовать, консультировать",Ein guter Anwalt kann Sie in dieser Angelegenheit beraten.,B1
der Erfolg,успех,Nach vielen Jahren harter Arbeit konnte sie endlich ihren persönlichen Erfolg feiern.,A2
der Fortschritt,прогресс,Der wissenschaftliche Fortschritt in diesem Bereich ist bemerkenswert.,B1
die Erde,земля,Die Erde dreht sich um die Sonne und ist unser Heimatplanet.,A1
die Bedienungsanleitung,инструкция по эксплуатации,"Bevor Sie das Gerät einschalten, lesen Sie bitte die Bedienungsanleitung sorgfältig durch.",A2
die Sonne,солнце,Heute scheint die Sonne und es ist ein wunderschöner Tag.,A1
kriegen,получать,"Ich hoffe, ich kriege bald eine Antwort auf meine Bewerbung.",A2
der Haushalt,домохозяйство,"Der monatliche Haushalt muss gut geplant sein, um Ausgaben zu kontrollieren.",A2
joggen,бегать трусцой,Jeden Morgen gehe ich im Park joggen.,A2
kürzlich,недавно,Kürzlich habe ich einen interessanten Artikel über künstliche Intelligenz gelesen.,B1
pro,"за, в пользу",Die meisten Leute sind pro dieser neuen Regelung.,B1
neugierig,любопытный,"Die Kinder waren neugierig auf das, was im Paket war.",A2
der Imbiss,"закуска, перекус",Wir haben uns einen schnellen Imbiss in einem kleinen Café geholt.,A2
früh,рано,Ich muss morgen sehr früh aufstehen.,A1
daneben,рядом,Das Restaurant ist direkt daneben.,A2
die Partei,партия (политическая),Die neue Partei hat viele junge Wähler gewonnen.,B1
der Zucker,сахар,"Ich trinke meinen Kaffee lieber ohne Zucker, da ich es nicht so süß mag.",A1
sparen,экономить,"Ich versuche, Geld für meinen Urlaub zu sparen.",A2
wunderbar,чудесный,"Das Wetter ist heute einfach wunderbar, lass uns spazieren gehen.",A2
surfen,"серфить, заниматься серфингом",Im Sommer gehen wir oft surfen.,A1
der Freund,друг,Er ist mein bester Freund seit der Kindheit.,A1
die Reihe,ряд,"Bitte setzen Sie sich in die vordere Reihe, damit Sie alles gut sehen können.",A2
dicht,плотный,Die Bäume im Wald stehen sehr dicht beieinander.,B1
inzwischen,"тем временем, между тем",Inzwischen hat sich die Situation verbessert.,B1
die Idee,идея,"Das ist eine ausgezeichnete Idee, die wir unbedingt umsetzen sollten.",A2
die Parkanlage,"парковая зона, парк",Die Parkanlage lädt zum Spazierengehen und Entspannen ein.,A2
die Rezeption,ресепшн,"Bitte melden Sie sich an der Rezeption an, wenn Sie ankommen.",A2
der Laden,магазин,"Ich muss noch schnell in den Laden, um Brot zu kaufen.",A1
also,"итак, поэтому","Es regnet stark, also bleiben wir heute zu Hause.",A2
die Limonade,лимонад,An einem heißen Sommertag trank er gerne eine erfrischende Limonade.,A1
feststellen,"устанавливать, констатировать",Der Arzt konnte keine genaue Ursache für die Schmerzen feststellen.,B1
lügen,"лгать, врать","Es ist besser, die Wahrheit zu sagen, als zu lügen.",A2
operieren,"оперировать, действовать",Der Chirurg wird den Patienten morgen operieren.,B1
küssen,целовать,Sie hat ihn zum Abschied auf die Wange geküsst.,A2
oben,вверху,"Das Buch, das Sie suchen, liegt oben im Regal.",A1
erinnern,напоминать,Dieses Lied erinnert mich an meine Kindheit.,A2
der Gott,бог,In vielen Kulturen wird ein höchster Gott verehrt.,B1
her,сюда,"Komm doch mal her, ich muss dir etwas zeigen.",A2
die Enttäuschung,разочарование,Seine unerwartete Absage war eine große Enttäuschung für sie.,B1
vorher,до этого,Wir haben vorher noch nie so ein schönes Konzert gesehen.,A2
hoffen,надеяться,Wir hoffen auf eine positive Antwort.,A2
das Bedürfnis,"потребность, нужда",Das Grundbedürfnis jedes Menschen ist Sicherheit.,B1
das Zeugnis,"аттестат, свидетельство","Nach dem Schulabschluss bekommt man das Zeugnis, das die Leistungen bestätigt.",B1
das Zimmer,комната,"Mein Zimmer ist leider etwas klein, aber es ist gemütlich eingerichtet.",A1
die Abgase,выхлопные газы,Die Abgase von Autos verschmutzen die Luft in den Städten.,B1
die Kartoffel,картофель,Zum Abendessen gibt es Bratkartoffeln mit einem Salat.,A1
weil,потому что,"Ich bleibe heute zu Hause, weil ich mich nicht gut fühle.",A2
schneiden,резать,Kannst du bitte das Brot schneiden?,A2
das Opfer,жертва,Der Unfall forderte leider ein Opfer.,B1
die Freiheit,свобода,Jeder Mensch hat das Recht auf Freiheit und Selbstbestimmung.,B1
ob,ли,"Ich weiß nicht, ob er heute Abend kommen kann.",B1
wechseln,менять,"Wir müssen die Reifen wechseln, bevor der Winter kommt.",A2
ernsthaft,серьёзно,Er nahm die Aufgabe sehr ernsthaft und arbeitete sorgfältig.,B1
und,и,Ich mag Kaffee und Kuchen.,A1
die Firma,фирма,Meine neue Firma hat ihren Sitz in der Innenstadt von Berlin.,A1
suchen,искать,"Ich muss meine Schlüssel suchen, ich kann sie nirgends finden.",A1
der Anschluss,"подключение, связь",Der neue Internetanschluss ist viel schneller als der alte.,A2
der Bleistift,карандаш,"Bitte gib mir einen Bleistift, ich muss etwas aufschreiben.",A1
das Interview,интервью,Das Interview mit dem berühmten Schauspieler wurde live im Fernsehen übertragen.,A2
das Original,оригинал,"Bitte bringen Sie das Originaldokument mit, keine Kopie.",B1
der Wettbewerb,"конкурс, соревнование",Sie hat den ersten Preis im Gesangswettbewerb gewonnen.,B1
anmelden,"регистрировать, записывать",Du musst dich für den Kurs online anmelden.,A2
biologisch,биологический,Wir kaufen nur biologisch angebaute Lebensmittel.,B1
der Bedarf,"потребность, спрос",Der Bedarf an erneuerbaren Energien wächst stetig.,B1
die Behörde,"учреждение, ведомство, орган власти",Für die Beantragung des Visums müssen Sie sich an die zuständige Behörde wenden.,B1
die Tablette,таблетка,"Wenn du Kopfschmerzen hast, nimm eine Tablette.",A1
gerecht,справедливый,"Es ist nicht gerecht, dass er für seine gute Arbeit keine Anerkennung erhält.",B1
die Ausstellung,выставка,Wir haben uns gestern eine interessante Kunstausstellung angesehen.,A2
die Fantasie,фантазия,Kinder haben oft eine blühende Fantasie und erfinden eigene Welten.,B1
der Nachteil,"недостаток, минус","Ein Nachteil des frühen Aufstehens ist, dass man abends früher müde wird.",A2
entscheiden,"решать, принимать решение",Wir müssen uns bald für eine Option entscheiden.,B1
passen,"подходить, быть впору",Diese Schuhe passen mir perfekt.,A2
sehen,видеть,Ich kann dich vom Fenster aus sehen.,A1
das Feuerzeug,зажигалка,Kannst du mir bitte dein Feuerzeug leihen?,A1
die Welt,мир,"Er träumt davon, die ganze Welt zu bereisen.",A1
das Mittagessen,обед,Wir treffen uns um 13 Uhr zum Mittagessen im Restaurant.,A1
digital,цифровой,Im digitalen Zeitalter sind Computer und das Internet unverzichtbar geworden.,B1
leer,пустой,"Die Flasche war leer, also musste ich sie auffüllen.",A2
das Hobby,хобби,Mein Hobby ist das Malen von Bildern.,A1
der Unfall,"несчастный случай, авария",Zum Glück gab es bei dem Unfall keine Verletzten.,A2
antworten,отвечать,Bitte antworte mir so schnell wie möglich auf meine E-Mail.,A1
die Bremse,тормоз,Die Bremse meines Fahrrads funktioniert nicht mehr richtig.,A2
telefonieren,звонить по телефону,Ich muss noch mit meiner Mutter telefonieren.,A1
der Montag,понедельник,Der Montag ist oft der anstrengendste Tag der Woche nach dem Wochenende.,A1
fühlen,чувствовать,Ich fühle mich heute sehr gut und energiegeladen.,A2
bisher,до сих пор,Bisher haben wir noch keine Entscheidung getroffen.,B1
der Spaziergang,прогулка,"Ein Spaziergang im Park ist eine gute Möglichkeit, sich zu entspannen.",A2
regnen,идти (о дожде),"Es regnet schon den ganzen Tag, deshalb bleiben wir drinnen.",A1
die Bettwäsche,постельное белье,"Ich muss die Bettwäsche wechseln, sie ist nicht mehr frisch.",A2
die Straßenbahn,трамвай,Ich fahre jeden Morgen mit der Straßenbahn zur Arbeit.,A1
das Produkt,продукт,Dieses neue Produkt ist besonders umweltfreundlich und hat bereits viele Kunden überzeugt.,A2
der Zoo,зоопарк,"Am Wochenende wollen wir mit den Kindern in den Zoo gehen, um die Tiere zu sehen.",A1
die Schwierigkeit,"трудность, сложность",Die größte Schwierigkeit bei diesem Projekt ist die Zeitbegrenzung.,B1
ablehnen,"отклонить, отвергнуть","Er musste das Jobangebot ablehnen, weil die Bezahlung nicht seinen Erwartungen entsprach.",B1
extrem,"крайний, чрезвычайный",Die Temperaturen waren extrem hoch.,B1
der Urlaub,отпуск,Wir planen unseren Urlaub für den Sommer.,A1
die Abbildung,"иллюстрация, изображение","Die Abbildung im Buch hilft uns, den Sachverhalt besser zu verstehen.",B2
die Süßigkeiten,сладости,"Kinder lieben es, Süßigkeiten zu essen, besonders an Geburtstagen.",A1
da,там,Da drüben steht ein schönes Haus.,A1
das Kaufhaus,универмаг,Wir haben im Kaufhaus ein schönes Kleid für die Feier gefunden.,A1
der Profi,профессионал,Er ist ein echter Profi in seinem Beruf und erledigt jede Aufgabe mit Bravour.,B1
die U-bahn,метро,"Um schnell durch die Stadt zu kommen, nehmen die meisten Leute die U-Bahn.",A1
intensiv,интенсивный,"Der Intensivkurs hat mir geholfen, meine Sprachkenntnisse schnell zu verbessern.",B1
die Aufgabe,"задание, задача",Die Hausaufgabe für morgen ist ziemlich schwierig.,A2
die Rechnung,счет,"Bitte bringen Sie mir die Rechnung, sobald wir mit dem Essen fertig sind.",A2
das Magazin,журнал,Ich lese gerne interessante Artikel in diesem Magazin.,B1
laufen,"бежать, ходить","Jeden Morgen läuft sie im Park, um fit zu bleiben.",A1
der Druck,"давление, печать",Der hohe Druck auf dem Arbeitsmarkt macht vielen jungen Menschen zu schaffen.,B1
das Bier,пиво,Nach der Arbeit trinke ich gerne ein kühles Bier.,A1
erwarten,ожидать,"Wir erwarten, dass die Gäste bald eintreffen.",B1
der Gedanke,мысль,Der Gedanke an den Urlaub macht mich glücklich.,B1
mittlerweile,тем временем,Mittlerweile hat sich die Situation deutlich verbessert.,B1
merken,замечать,Ich habe mir die Nummer des Hotels gut gemerkt.,A2
der Ausländer,иностранец,Der Ausländer hat sich gut in die deutsche Gesellschaft integriert.,A2
erlauben,разрешать,"Meine Eltern erlauben mir, bis Mitternacht auszugehen.",A2
die Orange,апельсин,Ich trinke jeden Morgen ein Glas frisch gepressten Orangensaft.,A1
beschädigen,повреждать,Der Sturm hat viele Bäume im Park beschädigt.,B1
die Mannschaft,команда,Unsere Mannschaft hat das Spiel gewonnen.,A2
das Gepäck,багаж,Bitte stellen Sie Ihr Gepäck auf das Gepäckband.,A1
die Geschichte,история,Er liest gerne historische Romane und erfährt viel über vergangene Zeiten.,A2
die Zahl,число,Die Zahl der Teilnehmer an der Konferenz hat unsere Erwartungen übertroffen.,A1
reagieren,реагировать,Man sollte ruhig bleiben und überlegt auf eine Krise reagieren.,B1
der Hersteller,производитель,Der Hersteller hat die Produktion des neuen Modells angekündigt.,B1
jetzt,"сейчас, теперь","Jetzt ist es Zeit, nach Hause zu gehen.",A1
der Chef,начальник,Der Chef hat uns zu einer Besprechung einberufen.,A1
toll,"отличный, замечательный",Das war eine tolle Idee!,A1
der Euro,евро,Der Preis für dieses Buch beträgt zwanzig Euro.,A1
der Hund,собака,"Unser Hund liebt es, im Park zu spielen.",A1
denn,потому что,"Ich bleibe zu Hause, denn ich fühle mich nicht gut.",A2
der Import,импорт,Der Import von Waren aus anderen Ländern ist gestiegen.,B1
der Satz,предложение,Dieser Satz ist grammatisch korrekt und leicht verständlich.,A1
buchstabieren,произносить по буквам,Kannst du bitte deinen Namen buchstabieren?,A1
der Grill,"гриль, мангал","Am Wochenende wollen wir im Garten grillen, also brauchen wir einen neuen Grill.",A2
prüfen,проверять,Der Arzt wird deinen Blutdruck prüfen.,B1
der Karneval,карнавал,In Köln wird der Karneval besonders ausgelassen gefeiert.,A2
fragen,спрашивать,"Wenn du etwas nicht verstehst, frag bitte nach.",A1
die Anleitung,"инструкция, руководство","Bitte lesen Sie die Anleitung sorgfältig durch, bevor Sie das Gerät benutzen.",A2
korrigieren,исправлять,Der Lehrer wird die Fehler in deinem Aufsatz korrigieren.,A2
das Kreuz,крест,Das Kreuz ist ein wichtiges Symbol im Christentum.,A2
das Salz,соль,"Bitte gib mir das Salz, ich möchte mein Essen würzen.",A1
entsorgen,"утилизировать, выбрасывать",Wir müssen den alten Müll fachgerecht entsorgen.,B1
ausfallen,"отменяться, выпадать (волосы, зубы)",Wegen des schlechten Wetters musste das Konzert leider ausfallen.,B1
die Drogerie,магазин косметики и бытовой химии,Ich muss noch etwas in der Drogerie kaufen.,A2
mindestens,по крайней мере,"Wir brauchen mindestens drei Stunden, um das Projekt abzuschließen.",A2
sich ereignen,"происходить, случаться",Ein unerwartetes Ereignis hat unseren Plan geändert.,B2
eröffnen,"открывать (магазин, счет, встречу)",Die neue Galerie wird nächste Woche feierlich eröffnet.,B1
die Geschwindigkeit,скорость,Die Geschwindigkeit des Autos war beeindruckend.,B1
keinen,никакого (винительный падеж мужского рода),Ich habe keinen Hunger mehr.,A1
die Diät,диета,"Sie versucht, mit einer strengen Diät abzunehmen.",A2
ausruhen,отдыхать,Nach der langen Wanderung muss ich mich erst einmal ausruhen.,A2
die Tätigkeit,деятельность,Seine neue Tätigkeit als Projektmanager erfordert viel Organisationstalent und Kommunikationsfähigkeit.,B1
kopieren,копировать,Ich muss diese Dokumente für das Meeting kopieren.,A2
das Mineralwasser,минеральная вода,Ich hätte gern ein Glas Mineralwasser ohne Kohlensäure.,A1
klappen,получаться,"Ich hoffe, dass alles nach Plan klappt.",A2
kulturell,культурный,Die Stadt bietet ein reiches kulturelles Angebot mit vielen Museen und Theatern.,B1
der Kopierer,копировальный аппарат,Der Kopierer im Büro ist leider schon wieder kaputt.,A2
die Generation,поколение,Jede Generation hat ihre eigenen Werte und Ideale.,B1
vorn,спереди,Das Auto steht vorn am Haus.,A2
kräftig,"сильный, крепкий","Er hat einen kräftigen Händedruck, der Vertrauen erweckt.",A2
die Klasse,класс,Meine neue Klasse ist sehr nett.,A2
campen,ставить палатку,Im Sommer gehen wir gerne campen.,A2
gründlich,тщательно,"Sie hat die Wohnung sehr gründlich gereinigt, bevor die Gäste kamen.",B2
besichtigen,осматривать,Wir werden morgen die neue Ausstellung im Museum besichtigen.,A2
bieten,предлагать,Die Firma bietet viele interessante Arbeitsplätze an.,B1
diskutieren,"дискутировать, обсуждать",Wir sollten die Vor- und Nachteile dieses Projekts ausführlich diskutieren.,B1
der Partner,партнёр,Sie sucht einen zuverlässigen Partner für ihr neues Projekt.,A1
die Cousine,двоюродная сестра,Meine Cousine wohnt in Berlin.,A1
